angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.05,0.0,,,"[899, 249, 117, 145]","[266, 293, 91, 115]",,,0.0,0.0,,,0.1,0.0,,,0.02,0.96,,,0.74,0.03,,,0.09,0.0,,,0.0,0.0,,
0.05,0.0,,,"[899, 249, 116, 145]","[266, 293, 91, 115]",,,0.0,0.0,,,0.1,0.0,,,0.02,0.96,,,0.74,0.03,,,0.09,0.0,,,0.0,0.0,,
0.05,0.0,,,"[899, 249, 116, 145]","[266, 293, 91, 115]",,,0.0,0.0,,,0.1,0.0,,,0.02,0.96,,,0.74,0.03,,,0.09,0.0,,,0.0,0.0,,
0.05,0.0,,,"[898, 249, 117, 146]","[267, 294, 90, 114]",,,0.0,0.0,,,0.09,0.0,,,0.02,0.94,,,0.75,0.05,,,0.09,0.0,,,0.0,0.0,,
0.06,0.01,,,"[899, 249, 115, 144]","[265, 293, 92, 117]",,,0.0,0.0,,,0.08,0.02,,,0.03,0.13,,,0.73,0.8,,,0.09,0.04,,,0.0,0.0,,
0.07,0.01,,,"[899, 249, 115, 144]","[266, 293, 92, 117]",,,0.0,0.0,,,0.08,0.01,,,0.03,0.2,,,0.72,0.74,,,0.1,0.04,,,0.0,0.0,,
0.05,0.01,,,"[898, 250, 116, 143]","[266, 294, 92, 115]",,,0.0,0.0,,,0.09,0.01,,,0.03,0.12,,,0.72,0.81,,,0.1,0.04,,,0.01,0.0,,
0.05,0.0,,,"[898, 250, 116, 143]","[266, 293, 92, 116]",,,0.0,0.0,,,0.09,0.01,,,0.03,0.17,,,0.72,0.79,,,0.1,0.02,,,0.01,0.0,,
0.05,0.0,,,"[898, 250, 116, 143]","[266, 293, 92, 116]",,,0.0,0.0,,,0.09,0.01,,,0.03,0.17,,,0.72,0.79,,,0.1,0.02,,,0.01,0.0,,
0.04,0.0,,,"[898, 250, 115, 143]","[266, 293, 92, 116]",,,0.0,0.0,,,0.06,0.01,,,0.03,0.17,,,0.77,0.79,,,0.1,0.02,,,0.0,0.0,,
0.05,0.03,,,"[898, 249, 116, 145]","[267, 296, 90, 112]",,,0.0,0.0,,,0.1,0.01,,,0.03,0.02,,,0.69,0.89,,,0.12,0.06,,,0.0,0.0,,
